Category,City,Country,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Profit,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,Profit Ratio,Quantity,Sales
Furniture,New York City,United States,Bradley Nguyen,DAX,19-05-2017,CA-2017-169943,10011,"DAX Value U-Channel Document Frames, Easel Back",$12.00,East,Consumer,24-05-2017,Standard Class,New York,Furnishings,0,1,0.31,8,40
Furniture,New York City,United States,Giulietta Baptist,Other,08-03-2017,CA-2017-137337,10011,Coloredge Poster Frame,$44.00,East,Consumer,12-03-2017,Standard Class,New York,Furnishings,0,1,0.39,8,114
Furniture,New York City,United States,Caroline Jumper,Staple-based wall hangings,07-05-2017,CA-2017-128818,10009,Staple-based wall hangings,$28.00,East,Consumer,11-05-2017,Standard Class,New York,Furnishings,0,1,0.44,8,64
Furniture,Wilmington,United States,Ivan Liston,Office Star,06-02-2016,CA-2016-156482,19805,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,$266.00,East,Consumer,13-02-2016,Standard Class,Delaware,Chairs,0,1,0.21,9,1269
Furniture,New York City,United States,Jessica Myrick,Luxo,24-12-2017,CA-2017-157259,10035,Luxo Adjustable Task Clamp Lamp,$208.00,East,Consumer,28-12-2017,Standard Class,New York,Furnishings,0,1,0.26,9,800
Furniture,New York City,United States,Seth Vernon,Global,20-09-2018,CA-2018-100111,10035,"Global Leather Task Chair, Black",$8.00,East,Consumer,26-09-2018,Standard Class,New York,Chairs,0.1,1,0.1,1,81
Furniture,New York City,United States,Gary McGarr,Office Star,08-10-2018,US-2018-168613,10009,Office Star - Ergonomically Designed Knee Chair,$3.00,East,Consumer,14-10-2018,Standard Class,New York,Chairs,0.1,1,0.02,2,146
Furniture,New York City,United States,Peter Fuller,Office Star,17-09-2016,US-2016-126977,10035,Office Star Flex Back Scooter Chair with White Frame,$9.00,East,Consumer,23-09-2016,Standard Class,New York,Chairs,0.1,1,0.04,2,200
Furniture,New York City,United States,Jeremy Farry,Hon,01-11-2016,CA-2016-141740,10009,Hon Comfortask Task/Swivel Chairs,$14.00,East,Consumer,05-11-2016,Standard Class,New York,Chairs,0.1,1,0.07,2,205
Furniture,Troy,United States,Scot Wooten,Global,02-11-2016,CA-2016-100657,12180,"Global Armless Task Chair, Royal Blue",$9.00,East,Consumer,07-11-2016,Standard Class,New York,Chairs,0.1,1,0.08,2,110
Furniture,New York City,United States,Natalie Webber,Other,08-05-2016,US-2016-160857,10024,"Situations Contoured Folding Chairs, 4/Set",$21.00,East,Consumer,15-05-2016,Standard Class,New York,Chairs,0.1,1,0.17,2,128
Furniture,Oceanside,United States,Hunter Glantz,DMI,24-12-2018,CA-2018-169978,11572,DMI Arturo Collection Mission-style Design Wood Chair,$48.00,East,Consumer,28-12-2018,Standard Class,New York,Chairs,0.1,1,0.18,2,272
Furniture,Hempstead,United States,Sean O'Donnell,Global,04-12-2016,CA-2016-161718,11550,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",$68.00,East,Consumer,10-12-2016,Standard Class,New York,Chairs,0.1,1,0.19,2,362
Furniture,New Rochelle,United States,Magdelene Morse,Global,18-09-2017,CA-2017-120355,10801,Global Leather Executive Chair,$140.00,East,Consumer,25-09-2017,Standard Class,New York,Chairs,0.1,1,0.22,2,632
Furniture,New York City,United States,Mark Van Huff,Global,24-03-2018,CA-2018-122308,10011,"Global Airflow Leather Mesh Back Chair, Black",$60.00,East,Consumer,28-03-2018,Standard Class,New York,Chairs,0.1,1,0.22,2,272
Furniture,New York City,United States,Seth Vernon,Hon,20-09-2018,CA-2018-100111,10035,Hon Valutask Swivel Chairs,$18.00,East,Consumer,26-09-2018,Standard Class,New York,Chairs,0.1,1,0.07,3,273
Furniture,New York City,United States,Jill Fjeld,Hon,16-02-2017,CA-2017-105781,10024,Hon Every-Day Chair Series Swivel Task Chairs,$40.00,East,Consumer,20-02-2017,Standard Class,New York,Chairs,0.1,1,0.12,3,327
Furniture,New York City,United States,Caroline Jumper,Hon,07-05-2017,CA-2017-128818,10009,Hon Mobius Operator's Chair,$59.00,East,Consumer,11-05-2017,Standard Class,New York,Chairs,0.1,1,0.13,4,443
Furniture,New York City,United States,Adam Shillingsburg,Office Star,22-09-2015,CA-2015-156160,10035,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,$84.00,East,Consumer,29-09-2015,Standard Class,New York,Chairs,0.1,1,0.14,4,580
Furniture,New York City,United States,Sarah Bern,SAFCO,12-06-2018,CA-2018-108441,10035,Safco Contoured Stacking Chairs,$143.00,East,Consumer,18-06-2018,Standard Class,New York,Chairs,0.1,1,0.17,4,858
Furniture,Hempstead,United States,Sean O'Donnell,Office Star,04-12-2016,CA-2016-161718,11550,Office Star - Ergonomically Designed Knee Chair,$8.00,East,Consumer,10-12-2016,Standard Class,New York,Chairs,0.1,1,0.02,5,364
Furniture,New York City,United States,Seth Vernon,Global,20-09-2018,CA-2018-100111,10035,Global Troy Executive Leather Low-Back Tilter,$376.00,East,Consumer,26-09-2018,Standard Class,New York,Chairs,0.1,1,0.17,5,2254
Furniture,New York City,United States,Erica Hackney,Global,31-03-2017,CA-2017-124100,10009,"Global Value Steno Chair, Gray",$55.00,East,Consumer,06-04-2017,Standard Class,New York,Chairs,0.1,1,0.17,6,328
Furniture,New York City,United States,Frank Preis,Hon,01-04-2017,CA-2017-111213,10009,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",$293.00,East,Consumer,05-04-2017,Standard Class,New York,Chairs,0.1,1,0.22,6,1317
Furniture,New York City,United States,Jay Kimmel,Other,21-08-2017,CA-2017-122581,10035,"Leather Task Chair, Black",$64.00,East,Consumer,25-08-2017,Standard Class,New York,Chairs,0.1,1,0.11,7,573
Furniture,New York City,United States,Annie Zypern,Iceberg,25-03-2015,CA-2015-148586,10009,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",$65.00,East,Consumer,01-04-2015,Standard Class,New York,Chairs,0.1,1,0.18,7,367
Furniture,New York City,United States,Joe Elijah,Hon,25-12-2017,CA-2017-169670,10009,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,$313.00,East,Consumer,31-12-2017,Standard Class,New York,Chairs,0.1,1,0.12,8,2563
Furniture,New York City,United States,Doug Jacobs,Office Star,18-12-2018,CA-2018-115602,10009,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,$140.00,East,Consumer,24-12-2018,Standard Class,New York,Chairs,0.1,1,0.12,9,1142
Furniture,New York City,United States,Seth Vernon,Hon,20-09-2018,CA-2018-100111,10035,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,$610.00,East,Consumer,26-09-2018,Standard Class,New York,Chairs,0.1,1,0.21,11,2888
Furniture,New York City,United States,Ben Wallace,Other,27-10-2017,CA-2017-116596,10011,"Metal Folding Chairs, Beige, 4/Carton",$81.00,East,Consumer,31-10-2017,Standard Class,New York,Chairs,0.1,1,0.19,14,428
Furniture,Long Beach,United States,Caroline Jumper,O'Sullivan,10-03-2017,US-2017-112977,11561,O'Sullivan Living Dimensions 5-Shelf Bookcases,-$22.00,East,Consumer,16-03-2017,Standard Class,New York,Bookcases,0.2,1,-0.13,1,177
Furniture,New York City,United States,Bryan Davis,Atlantic,06-02-2018,CA-2018-115105,10024,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",$30.00,East,Consumer,11-02-2018,Standard Class,New York,Bookcases,0.2,1,0.13,1,241
Furniture,Lancaster,United States,Steven Cartwright,Eldon,29-06-2016,CA-2016-128860,17602,"Eldon Executive Woodline II Desk Accessories, Mahogany",$2.00,East,Consumer,05-07-2016,Standard Class,Pennsylvania,Furnishings,0.2,1,0.09,1,20
Furniture,Philadelphia,United States,Natalie Webber,Other,21-06-2015,CA-2015-138317,19120,Stacking Trays by OIC,$1.00,East,Consumer,25-06-2015,Standard Class,Pennsylvania,Furnishings,0.2,1,0.16,1,4
Furniture,New York City,United States,Adam Shillingsburg,O'Sullivan,21-06-2017,CA-2017-119865,10011,O'Sullivan Living Dimensions 5-Shelf Bookcases,-$44.00,East,Consumer,26-06-2017,Standard Class,New York,Bookcases,0.2,1,-0.13,2,354
Furniture,New York City,United States,Bobby Trafton,O'Sullivan,04-06-2015,CA-2015-151946,10035,O'Sullivan Living Dimensions 5-Shelf Bookcases,-$44.00,East,Consumer,09-06-2015,Standard Class,New York,Bookcases,0.2,1,-0.13,2,354
Furniture,New York City,United States,Kelly Andreada,O'Sullivan,24-11-2018,CA-2018-168641,10035,O'Sullivan Plantations 2-Door Library in Landvery Oak,-$16.00,East,Consumer,01-12-2018,Standard Class,New York,Bookcases,0.2,1,-0.05,2,322
Furniture,New York City,United States,Jim Karlsson,Atlantic,25-12-2016,CA-2016-113152,10024,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",$56.00,East,Consumer,30-12-2016,Standard Class,New York,Bookcases,0.2,1,0.13,2,450
Furniture,Cleveland,United States,Logan Currie,Deflect-o,09-09-2018,CA-2018-169439,44105,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",-$9.00,East,Consumer,13-09-2018,Standard Class,Ohio,Furnishings,0.2,1,-0.14,2,66
Furniture,Fairfield,United States,Liz Preis,Deflect-o,06-06-2017,CA-2017-112830,45014,"Deflect-o EconoMat Nonstudded, No Bevel Mat",$0.00,East,Consumer,10-06-2017,Standard Class,Ohio,Furnishings,0.2,1,0,2,83
Furniture,Marion,United States,Jamie Kunitz,Ultra,20-11-2016,CA-2016-116484,43302,Ultra Commercial Grade Dual Valve Door Closer,$10.00,East,Consumer,26-11-2016,Standard Class,Ohio,Furnishings,0.2,1,0.15,2,64
Furniture,Newark,United States,Brian Thompson,GE,20-11-2018,US-2018-161193,43055,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",$2.00,East,Consumer,26-11-2018,Standard Class,Ohio,Furnishings,0.2,1,0.34,2,5
Furniture,Philadelphia,United States,Maribeth Dona,Tenex,05-11-2015,CA-2015-114251,19143,Tenex Antistatic Computer Chair Mats,-$34.00,East,Consumer,10-11-2015,Standard Class,Pennsylvania,Furnishings,0.2,1,-0.13,2,274
Furniture,Philadelphia,United States,Shui Tom,Tensor,14-07-2015,CA-2015-164182,19140,Tensor Track Tree Floor Lamp,$1.00,East,Consumer,18-07-2015,Standard Class,Pennsylvania,Furnishings,0.2,1,0.04,2,32
Furniture,Philadelphia,United States,Giulietta Baptist,Other,12-06-2016,CA-2016-139850,19134,"DataProducts Ampli Magnifier Task Lamp, Black,",$4.00,East,Consumer,17-06-2016,Standard Class,Pennsylvania,Furnishings,0.2,1,0.1,2,43
Furniture,Philadelphia,United States,Mick Crebagga,Other,30-10-2018,CA-2018-152807,19140,"Stacking Tray, Side-Loading, Legal, Smoke",$1.00,East,Consumer,03-11-2018,Standard Class,Pennsylvania,Furnishings,0.2,1,0.14,2,7
Furniture,Philadelphia,United States,John Lee,Howard Miller,07-07-2015,US-2015-138758,19120,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",$12.00,East,Consumer,11-07-2015,Standard Class,Pennsylvania,Furnishings,0.2,1,0.18,2,69
Furniture,Allentown,United States,Caroline Jumper,Master Caster,22-07-2017,CA-2017-122392,18103,"Master Caster Door Stop, Large Neon Orange",$3.00,East,Consumer,27-07-2017,Standard Class,Pennsylvania,Furnishings,0.2,1,0.29,2,12
Furniture,New York City,United States,Harry Greene,O'Sullivan,09-10-2018,CA-2018-141873,10024,"O'Sullivan Elevations Bookcase, Cherry Finish",-$16.00,East,Consumer,14-10-2018,Standard Class,New York,Bookcases,0.2,1,-0.05,3,314
Furniture,New York City,United States,Christine Sundaresam,Other,14-04-2018,CA-2018-131233,10024,"Bush Westfield Collection Bookcases, Fully Assembled",$9.00,East,Consumer,19-04-2018,Standard Class,New York,Bookcases,0.2,1,0.04,3,242
Furniture,Hamilton,United States,Mark Hamilton,Eldon,20-12-2015,CA-2015-160157,45011,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,-$21.00,East,Consumer,27-12-2015,Standard Class,Ohio,Furnishings,0.2,1,-0.11,3,191
Furniture,Fairfield,United States,Liz Preis,Electrix,06-06-2017,CA-2017-112830,45014,Electrix Halogen Magnifier Lamp,$35.00,East,Consumer,10-06-2017,Standard Class,Ohio,Furnishings,0.2,1,0.08,3,466
Furniture,Columbus,United States,Chloris Kastensmidt,Other,21-11-2017,CA-2017-140018,43229,"Computer Room Manger, 14""",$16.00,East,Consumer,26-11-2017,Standard Class,Ohio,Furnishings,0.2,1,0.2,3,78
Furniture,Philadelphia,United States,Carlos Soltero,Eldon,18-11-2015,US-2015-159926,19140,"Eldon Executive Woodline II Desk Accessories, Mahogany",$5.00,East,Consumer,22-11-2015,Standard Class,Pennsylvania,Furnishings,0.2,1,0.09,3,60
Furniture,Philadelphia,United States,Bruce Stewart,Linden,10-04-2018,CA-2018-135069,19143,"Linden 10"" Round Wall Clock, Black",$6.00,East,Consumer,14-04-2018,Standard Class,Pennsylvania,Furnishings,0.2,1,0.18,3,37
Furniture,New York City,United States,Greg Matthias,O'Sullivan,30-09-2017,CA-2017-106243,10011,"O'Sullivan Elevations Bookcase, Cherry Finish",-$26.00,East,Consumer,04-10-2017,Standard Class,New York,Bookcases,0.2,1,-0.05,5,524
Furniture,New York City,United States,Peter Fuller,DMI,17-09-2016,US-2016-126977,10035,DMI Eclipse Executive Suite Bookcases,-$25.00,East,Consumer,23-09-2016,Standard Class,New York,Bookcases,0.2,1,-0.01,5,2004
Furniture,Columbus,United States,Eugene Barchas,Seth Thomas,28-11-2016,CA-2016-111612,43229,"Seth Thomas 13 1/2"" Wall Clock",$10.00,East,Consumer,02-12-2016,Standard Class,Ohio,Furnishings,0.2,1,0.14,5,71
Furniture,Columbus,United States,Henia Zydlo,Advantus,14-03-2017,US-2017-154361,43229,Advantus Panel Wall Acrylic Frame,$6.00,East,Consumer,19-03-2017,Standard Class,Ohio,Furnishings,0.2,1,0.29,5,22
Furniture,Newark,United States,Brian Thompson,Other,20-11-2018,US-2018-161193,43055,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",$28.00,East,Consumer,26-11-2018,Standard Class,Ohio,Furnishings,0.2,1,0.36,5,78
Furniture,Columbus,United States,John Lee,GE,14-07-2018,US-2018-161935,43229,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",$149.00,East,Consumer,18-07-2018,Standard Class,Ohio,Furnishings,0.2,1,0.38,5,397
Furniture,New York City,United States,Peter Fuller,Riverside,17-09-2016,US-2016-126977,10035,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",$159.00,East,Consumer,23-09-2016,Standard Class,New York,Bookcases,0.2,1,0.04,6,4229
Furniture,Toledo,United States,Thea Hendricks,Eldon,24-11-2015,CA-2015-153850,43615,"Eldon 200 Class Desk Accessories, Burgundy",$10.00,East,Consumer,29-11-2015,Standard Class,Ohio,Furnishings,0.2,1,0.28,7,35
Furniture,Philadelphia,United States,Dean Braden,Other,05-09-2017,CA-2017-158778,19134,"6"" Cubicle Wall Clock, Black",$12.00,East,Consumer,09-09-2017,Standard Class,Pennsylvania,Furnishings,0.2,1,0.2,9,58
Furniture,Buffalo,United States,Greg Tran,DMI,17-11-2015,CA-2015-128209,14215,DMI Eclipse Executive Suite Bookcases,-$50.00,East,Consumer,22-11-2015,Standard Class,New York,Bookcases,0.2,1,-0.01,10,4008
Furniture,New York City,United States,Janet Lee,Hon,30-11-2016,CA-2016-137925,10035,"Hon Metal Bookcases, Black",$43.00,East,Consumer,04-12-2016,Standard Class,New York,Bookcases,0.2,1,0.06,12,681
Furniture,Philadelphia,United States,Arianne Irving,Other,11-12-2018,US-2018-160759,19120,"Leather Task Chair, Black",-$9.00,East,Consumer,17-12-2018,Standard Class,Pennsylvania,Chairs,0.3,1,-0.14,1,64
Furniture,Columbus,United States,Pete Kriz,Office Star,24-09-2017,US-2017-134488,43229,Office Star - Contemporary Task Swivel Chair,-$13.00,East,Consumer,01-10-2017,Standard Class,Ohio,Chairs,0.3,1,-0.09,2,155
Furniture,Columbus,United States,Maribeth Dona,Global,08-05-2018,CA-2018-149181,43229,Global Chrome Stack Chair,-$2.00,East,Consumer,12-05-2018,Standard Class,Ohio,Chairs,0.3,1,-0.04,2,48
Furniture,Parma,United States,Susan Pistek,Hon,12-11-2017,CA-2017-124590,44134,Hon 4070 Series Pagoda Round Back Stacking Chairs,-$13.00,East,Consumer,16-11-2017,Standard Class,Ohio,Chairs,0.3,1,-0.03,2,449
Furniture,Lancaster,United States,Maribeth Dona,Global,05-09-2017,CA-2017-162383,43130,"Global Push Button Manager's Chair, Indigo",-$1.00,East,Consumer,11-09-2017,Standard Class,Ohio,Chairs,0.3,1,-0.01,2,85
Furniture,Philadelphia,United States,John Lee,Global,07-07-2015,US-2015-138758,19120,"Global High-Back Leather Tilter, Burgundy",-$47.00,East,Consumer,11-07-2015,Standard Class,Pennsylvania,Chairs,0.3,1,-0.27,2,172
Furniture,Philadelphia,United States,Dean Braden,Global,05-09-2017,CA-2017-158778,19134,"Global Task Chair, Black",-$19.00,East,Consumer,09-09-2017,Standard Class,Pennsylvania,Chairs,0.3,1,-0.27,2,71
Furniture,Philadelphia,United States,Maris LaWare,Global,06-11-2018,CA-2018-154109,19143,"Global Wood Trimmed Manager's Task Chair, Khaki",-$31.00,East,Consumer,11-11-2018,Standard Class,Pennsylvania,Chairs,0.3,1,-0.24,2,127
Furniture,Philadelphia,United States,Sean Christensen,Global,01-12-2018,CA-2018-122539,19140,Global Commerce Series High-Back Swivel/Tilt Chairs,-$28.00,East,Consumer,05-12-2018,Standard Class,Pennsylvania,Chairs,0.3,1,-0.07,2,399
Furniture,Baltimore,United States,Melanie Seite,Bush,04-10-2017,CA-2017-131296,21215,"Bush Andora Conference Table, Maple/Graphite Gray Finish",-$24.00,East,Consumer,09-10-2017,Standard Class,Maryland,Tables,0.3,1,-0.1,2,239
Furniture,Lawrence,United States,Carol Triggs,Balt,07-05-2015,CA-2015-166086,01841,Balt Split Level Computer Training Table,-$39.00,East,Consumer,12-05-2015,Standard Class,Massachusetts,Tables,0.3,1,-0.2,2,194
Furniture,Vineland,United States,Mick Brown,Chromcraft,11-03-2017,US-2017-128902,08360,Chromcraft Round Conference Tables,-$31.00,East,Consumer,15-03-2017,Standard Class,New Jersey,Tables,0.3,1,-0.13,2,244
Furniture,Passaic,United States,Art Ferguson,Bevis,22-05-2017,CA-2017-146934,07055,Bevis 36 x 72 Conference Tables,-$20.00,East,Consumer,27-05-2017,Standard Class,New Jersey,Tables,0.3,1,-0.11,2,174
Furniture,Columbus,United States,Chloris Kastensmidt,Global,21-11-2017,CA-2017-140018,43229,"Global Value Steno Chair, Gray",-$9.00,East,Consumer,26-11-2017,Standard Class,Ohio,Chairs,0.3,1,-0.07,3,128
Furniture,Philadelphia,United States,Dean Braden,Global,05-09-2017,CA-2017-158778,19134,Global Comet Stacking Arm Chair,-$63.00,East,Consumer,09-09-2017,Standard Class,Pennsylvania,Chairs,0.3,1,-0.07,3,887
Furniture,Chester,United States,Anna Andreadi,Other,22-06-2015,CA-2015-154963,19013,"Padded Folding Chairs, Black, 4/Carton",-$5.00,East,Consumer,27-06-2015,Standard Class,Pennsylvania,Chairs,0.3,1,-0.03,3,170
Furniture,Wilmington,United States,Magdelene Morse,Hon,15-07-2018,CA-2018-166142,19805,Hon 2111 Invitation Series Straight Table,-$49.00,East,Consumer,19-07-2018,Standard Class,Delaware,Tables,0.3,1,-0.16,3,310
Furniture,Franklin,United States,Kean Thornton,Bevis,12-05-2015,CA-2015-155887,02038,"Bevis Traditional Conference Table Top, Plinth Base",-$130.00,East,Consumer,17-05-2015,Standard Class,Massachusetts,Tables,0.3,1,-0.19,3,700
Furniture,Philadelphia,United States,Emily Grady,Global,08-12-2018,US-2018-167570,19140,Global Deluxe Steno Chair,-$59.00,East,Consumer,15-12-2018,Standard Class,Pennsylvania,Chairs,0.3,1,-0.27,4,216
Furniture,Philadelphia,United States,Seth Vernon,Other,18-07-2018,US-2018-165358,19134,"Situations Contoured Folding Chairs, 4/Set",-$14.00,East,Consumer,23-07-2018,Standard Class,Pennsylvania,Chairs,0.3,1,-0.07,4,199
Furniture,Philadelphia,United States,Randy Bradley,Hon,17-11-2015,CA-2015-159835,19143,Hon Every-Day Series Multi-Task Chairs,-$94.00,East,Consumer,24-11-2015,Standard Class,Pennsylvania,Chairs,0.3,1,-0.14,5,658
Furniture,Philadelphia,United States,Bill Donatelli,Hon,31-10-2017,CA-2017-119165,19143,Hon Olson Stacker Stools,-$14.00,East,Consumer,06-11-2017,Standard Class,Pennsylvania,Chairs,0.3,1,-0.03,5,493
Furniture,Chester,United States,Anna Andreadi,Hon,22-06-2015,CA-2015-154963,19013,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",$0.00,East,Consumer,27-06-2015,Standard Class,Pennsylvania,Chairs,0.3,1,0,5,854
Furniture,Philadelphia,United States,Stewart Visinsky,Global,03-05-2016,CA-2016-112130,19140,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",-$36.00,East,Consumer,07-05-2016,Standard Class,Pennsylvania,Chairs,0.3,1,-0.04,6,844
Furniture,Parma,United States,Susan Pistek,Global,12-11-2017,CA-2017-124590,44134,"Global Leather and Oak Executive Chair, Black",-$21.00,East,Consumer,16-11-2017,Standard Class,Ohio,Chairs,0.3,1,-0.01,7,1475
Furniture,Parma,United States,Susan Pistek,Hon,12-11-2017,CA-2017-124590,44134,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",$0.00,East,Consumer,16-11-2017,Standard Class,Ohio,Chairs,0.3,1,0,9,1537
Furniture,New York City,United States,Greg Matthias,Chromcraft,01-10-2017,CA-2017-139157,10024,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",-$116.00,East,Consumer,05-10-2017,Standard Class,New York,Tables,0.4,1,-0.35,1,331
Furniture,Toledo,United States,John Stevenson,Riverside,08-04-2015,CA-2015-121769,43615,Riverside Furniture Stanwyck Manor Table Series,-$95.00,East,Consumer,12-04-2015,Standard Class,Ohio,Tables,0.4,1,-0.55,1,172
Furniture,Marion,United States,Sung Shariari,Hon,14-12-2015,US-2015-123519,43302,Hon Rectangular Conference Tables,-$52.00,East,Consumer,21-12-2015,Standard Class,Ohio,Tables,0.4,1,-0.38,1,137
Furniture,Medina,United States,Mick Crebagga,KI,26-12-2016,CA-2016-111073,44256,KI Adjustable-Height Table,-$15.00,East,Consumer,30-12-2016,Standard Class,Ohio,Tables,0.4,1,-0.3,1,52
Furniture,Fairfield,United States,Susan Vittorini,Hon,25-12-2018,US-2018-147669,45014,Hon Rectangular Conference Tables,-$105.00,East,Consumer,30-12-2018,Standard Class,Ohio,Tables,0.4,1,-0.38,2,273
Furniture,New York City,United States,Michael Moore,Bush,10-01-2016,US-2016-157154,10011,Bush Advantage Collection Racetrack Conference Table,-$373.00,East,Consumer,15-01-2016,Standard Class,New York,Tables,0.4,1,-0.37,4,1018
Furniture,Philadelphia,United States,Emily Phan,Bevis,07-11-2018,CA-2018-149888,19120,Bevis Rectangular Conference Tables,-$140.00,East,Consumer,13-11-2018,Standard Class,Pennsylvania,Tables,0.4,1,-0.4,4,350
Furniture,Philadelphia,United States,Troy Staebel,Chromcraft,16-08-2015,CA-2015-142839,19143,Chromcraft Rectangular Conference Tables,-$227.00,East,Consumer,20-08-2015,Standard Class,Pennsylvania,Tables,0.4,1,-0.27,6,853
Furniture,Yonkers,United States,Karen Daniels,Chromcraft,01-03-2017,US-2017-143819,10701,Chromcraft Round Conference Tables,-$265.00,East,Consumer,05-03-2017,Standard Class,New York,Tables,0.4,1,-0.32,8,837
Furniture,Philadelphia,United States,Shahid Shariari,Bevis,21-11-2016,CA-2016-119879,19120,"Bevis Oval Conference Table, Walnut",-$480.00,East,Consumer,25-11-2016,Standard Class,Pennsylvania,Tables,0.4,1,-0.38,8,1253
Furniture,Philadelphia,United States,Seth Vernon,Bush,25-08-2018,CA-2018-159793,19140,Bush Somerset Collection Bookcase,-$89.00,East,Consumer,29-08-2018,Standard Class,Pennsylvania,Bookcases,0.5,1,-0.68,2,131
Furniture,Philadelphia,United States,Joni Wasserman,O'Sullivan,16-08-2016,US-2016-164238,19120,O'Sullivan Plantations 2-Door Library in Landvery Oak,-$205.00,East,Consumer,20-08-2016,Standard Class,Pennsylvania,Bookcases,0.5,1,-0.68,3,301
Furniture,Springfield,United States,Troy Blackwell,Bush,29-03-2017,CA-2017-127236,45503,"Bush Andora Bookcase, Maple/Graphite Gray Finish",-$168.00,East,Consumer,02-04-2017,Standard Class,Ohio,Bookcases,0.5,1,-0.56,5,300
Furniture,Lafayette,United States,Bruce Degenhardt,Sauder,30-05-2018,CA-2018-125472,70506,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",$34.00,South,Consumer,31-05-2018,First Class,Louisiana,Bookcases,0,1,0.14,2,242
Furniture,Salem,United States,Max Engle,Office Star,02-12-2018,CA-2018-143756,24153,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,$168.00,South,Consumer,05-12-2018,First Class,Virginia,Chairs,0,1,0.24,2,702
Furniture,Mobile,United States,Pauline Johnson,Other,07-04-2015,CA-2015-124023,36608,"Stacking Tray, Side-Loading, Legal, Smoke",$3.00,South,Consumer,10-04-2015,First Class,Alabama,Furnishings,0,1,0.31,2,9
Furniture,Virginia Beach,United States,Liz Willingham,3M,05-11-2017,CA-2017-157280,23464,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",$71.00,South,Consumer,07-11-2017,First Class,Virginia,Furnishings,0,1,0.26,2,274
Furniture,Arlington,United States,Mark Van Huff,Bush,06-02-2018,CA-2018-122994,22204,"Bush Andora Bookcase, Maple/Graphite Gray Finish",$79.00,South,Consumer,09-02-2018,First Class,Virginia,Bookcases,0,1,0.22,3,360
Furniture,Murray,United States,James Galang,Howard Miller,05-12-2017,CA-2017-124772,42071,"Howard Miller 16"" Diameter Gallery Wall Clock",$75.00,South,Consumer,06-12-2017,First Class,Kentucky,Furnishings,0,1,0.39,3,192
Furniture,Lafayette,United States,Bruce Degenhardt,Other,30-05-2018,CA-2018-125472,70506,Acrylic Self-Standing Desk Frames,$3.00,South,Consumer,31-05-2018,First Class,Louisiana,Furnishings,0,1,0.38,3,8
Furniture,Richmond,United States,Eric Barreto,Eldon,22-10-2017,US-2017-116400,23223,"Eldon Expressions Wood and Plastic Desk Accessories, Oak",$11.00,South,Consumer,24-10-2017,First Class,Virginia,Furnishings,0,1,0.28,4,40
Furniture,Lafayette,United States,Michelle Huthwaite,Bretford,13-10-2018,CA-2018-103212,70506,Bretford Rectangular Conference Table Tops,$346.00,South,Consumer,14-10-2018,First Class,Louisiana,Tables,0,1,0.23,4,1505
Furniture,Columbus,United States,Raymond Messe,Hon,08-04-2017,US-2017-106600,31907,"Hon Metal Bookcases, Black",$89.00,South,Consumer,11-04-2017,First Class,Georgia,Bookcases,0,1,0.25,5,355
Furniture,Virginia Beach,United States,Liz Willingham,Tenex,05-11-2017,CA-2017-157280,23464,"Tenex Chairmat w/ Average Lip, 45"" x 53""",$76.00,South,Consumer,07-11-2017,First Class,Virginia,Furnishings,0,1,0.1,5,757
Furniture,Waynesboro,United States,Lauren Leatherbury,Tenex,16-04-2016,CA-2016-137974,22980,Tenex Antistatic Computer Chair Mats,$120.00,South,Consumer,18-04-2016,First Class,Virginia,Furnishings,0,1,0.1,7,1197
